,0,1,cluster,u1,u2,u3,u4,u5
0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0
1,0.5,0.7,4.0,0.21403308030639254,0.10435121853605166,0.21223487704241772,0.23421721789031102,0.23516360622482704
2,0.5,0.3,1.0,0.0631747115496476,0.7581086682798774,0.06369670487644849,0.057628772533435,0.05739114276059146
3,0.7,0.5,4.0,0.2022627113246082,0.14397420582391315,0.20568315552554825,0.2235796944692288,0.2245002328567016
4,0.3,0.5,0.0,0.22421988413070612,0.14980404246311058,0.22053709848094527,0.20313218405690267,0.2023067908683354
5,0.52,0.518333,3.0,0.0,0.0,0.0,1.0,0.0
6,0.515,0.51,3.0,0.17578286744189822,0.01440399881882571,0.19206314203341368,0.326093986776284,0.29165600492957844
7,0.4825,0.49,0.0,0.35147129437523505,0.03500709082251089,0.31572369510999226,0.1507258758032217,0.14707204388904008
8,0.505833,0.4875,2.0,0.3214715682862194,0.022436347040996337,0.3988559716213285,0.1306842484809319,0.12655186457052375
9,0.520833,0.519167,4.0,0.0,0.0,0.0,0.0,1.0
10,0.499167,0.506667,0.0,0.43439226254505436,0.013441792393153445,0.3132481839678283,0.12223542969322715,0.11668233140073685
11,0.480833,0.506667,0.0,0.34255855959435566,0.03172967268375912,0.28972755095255237,0.1701031433153367,0.1658810734539962
12,0.5075,0.524167,3.0,0.17585852551286804,0.018997336640129862,0.17005291869205474,0.32258947532689736,0.31250174382805
13,0.5125,0.5175,3.0,0.13355914148246115,0.012625400832912193,0.1351901245998828,0.3806325506744677,0.33799278241027614
14,0.505,0.495,2.0,0.29141184753599386,0.010043378824178347,0.5529372187303205,0.07428616905666374,0.07132138585284357
15,0.479167,0.515,0.0,0.30989064743207584,0.034956109338648844,0.2709919734869801,0.19417909974874847,0.18998216999354667
16,0.503333,0.498333,2.0,0.0,0.0,1.0,0.0,0.0
17,0.495,0.52,0.0,0.27794629184887026,0.024834317997027316,0.2468323926043828,0.22869253883584104,0.22169445871387858
18,0.504167,0.496667,2.0,0.2336851991489233,0.0060276533802050905,0.669286113066518,0.04646756224518986,0.044533472159163826
19,0.516667,0.500833,2.0,0.24192186568122323,0.019146147996071002,0.29758540442771303,0.2266203786326353,0.21472620326235736
20,0.505,0.5075,0.0,0.33848689528172093,0.014017668174140603,0.32746260872158783,0.16489819863312313,0.1551346291894275
21,0.511667,0.514167,3.0,0.17137259327793009,0.014030024263339207,0.1757725378523801,0.33759509668642795,0.3012297479199227
